SAN/PL/RBL4,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL5,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL5A,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL6,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL7,SAKINAKA,6X3,PLATFORM,,,
SAN/PL/RBL8,SAKINAKA,8X4,PLATFORM,,,
SAN/PL/RBL9,SAKINAKA,8X4,PLATFORM,,,
SAN/PL/RBL10,SAKINAKA,8X4,PLATFORM,,,
SAN/PL/RBL11,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL12,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL12A,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL13,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL14,SAKINAKA,10X5,PLATFORM,,,
SAN/PL/RBL15,SAKINAKA,8X4,PLATFORM,,,
SAN/PL/RBL16,SAKINAKA,8X4,PLATFORM,,,
SAN/CC1/RBL2,SAKINAKA,10X5,CONCOURSE,,,
SAN/CC1/RBL3,SAKINAKA,10X5,CONCOURSE,,,
SAN/CC1/RBL4,SAKINAKA,10X5,CONCOURSE,,,
SAN/CC1/PW1,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW2,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW5,SAKINAKA,3X6,FRONT SIDE,,,
SAN/CC1/PW6,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW7,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW8,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW9,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW10,SAKINAKA,3X6,FRONT SIDE,,,
SAN/CC1/PW12,SAKINAKA,3X6,FRONT SIDE,,,
SAN/CC1/PW13,SAKINAKA,3X6,FRONT SIDE,,,
SAN/CC1/PW14,SAKINAKA,3X6,BACK SIDE,,,
SAN/CC1/PW15,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW16,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW17,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW18,SAKINAKA,3X6,BOTH SIDE,,,
SAN/CC1/PW19,SAKINAKA,3X6,FRONT SIDE,,,
MAR/PL/RBL1,MAROL,8X4,PLATFORM,,,
MAR/PL/RBL2,MAROL,10X5,PLATFORM,,,
MAR/PL/RBL3,MAROL,10X5,PLATFORM,,,
MAR/PL/RBL3A,MAROL,8X4,PLATFORM,,,
MAR/PL/RBL4,MAROL,10X5,PLATFORM,,,
MAR/PL/RBL5,MAROL,8X4,PLATFORM,,,
MAR/PL/RBL6,MAROL,8X4,PLATFORM,,,
MAR/PL/RBL7,MAROL,8X4,PLATFORM,,,
MAR/PL/RBL8,MAROL,8X4,PLATFORM,,,
MAR/PL/RBL9,MAROL,10X5,PLATFORM,,,
MAR/PL/RBL9A,MAROL,8X4,PLATFORM,,,
MAR/PL/RBL10,MAROL,10X5,PLATFORM,,,
MAR/PL/RBL11,MAROL,10X5,PLATFORM,,,
MAR/PL/RBL12,MAROL,8X4,PLATFORM,,,
MAR/CC1/RBL1,MAROL,10X5,CONCOURSE,,,
MAR/CC1/RBL2,MAROL,10X5,CONCOURSE,,,
MAR/CC1/RBL3,MAROL,10X5,CONCOURSE,,,
MAR/CC1/RBL4,MAROL,10X5,CONCOURSE,,,
MAR/CC1/PW1,MAROL,3X6,FRONT SIDE,,,
MAR/CC1/PW2,MAROL,3X6,BACK SIDE,,,
MAR/CC1/PW3,MAROL,3X6,BACK SIDE,,,
MAR/CC1/PW4,MAROL,3X6,FRONT SIDE,,,
MAR/CC1/PW5,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW6,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW7,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW8,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW9,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW10,MAROL,3X6,FRONT SIDE,,,
MAR/CC1/PW11,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW12,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW13,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW14,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW15,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW16,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW18,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW19,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW20,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW21,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW22,MAROL,3X6,BACK SIDE,,,
MAR/CC1/PW23,MAROL,3X6,BACK SIDE,,,
MAR/CC1/PW24,MAROL,3X6,BACK SIDE,,,
MAR/CC1/PW25,MAROL,3X6,BOTH SIDE,,,
MAR/CC1/PW26,MAROL,3X6,BOTH SIDE,,,
APR/PL/RBL1,AIRPORT ROAD,8X4,PLATFORM,,,
